,Date,ACB,MWG,MSN,BID,VRE,POW,PLX,HPG,VNM,VHM,TCB,HDB,VIB,VCB,VJC
56,2020-03-27,8100,20410,39930,22780,20400,7269,33970,7380,65800,44240,16000,5850,4560.0,41700,96900
57,2020-03-30,7480,19190,39760,21330,19000,6811,32430,7450,63770,41140,14900,5530,4230.0,39680,96500
58,2020-03-31,7320,18990,39680,21290,19150,6763,33070,7670,63640,40550,15000,5710,4270.0,40330,97200
59,2020-04-01,7650,19730,39850,22160,19250,7021,35240,7860,65730,40410,15500,6070,4390.0,42280,99200
60,2020-04-03,7850,21090,42360,23680,19500,7345,36140,8039,66420,42550,15850,6270,4490.0,42610,99900
61,2020-04-06,8470,22540,45270,25330,20850,7765,36330,8580,67270,45490,16950,6570,4760.0,44230,99900
62,2020-04-07,8340,24060,46570,25540,22300,7622,35190,8650,68880,48670,16950,6650,4760.0,44360,99000
63,2020-04-08,8310,23860,47700,26190,22500,8146,34790,8520,69230,51610,16700,6620,4680.0,43910,99000
64,2020-04-09,8230,23530,48110,26020,23700,8308,36230,8450,69990,50880,16900,6620,4790.0,46190,102000
65,2020-04-10,8140,23120,48750,25470,23800,8137,36920,8560,69640,49480,16750,6410,4720.0,45930,109100
66,2020-04-13,8230,24190,47050,25640,25450,8394,36560,8810,69300,49620,17200,6480,4720.0,46060,115700
67,2020-04-14,8230,24120,49400,25190,26200,8633,35880,9090,69230,50140,17150,6410,4720.0,45470,112800
68,2020-04-15,8310,24760,49320,25750,26100,8642,36140,9150,69370,49990,17550,6620,4860.0,46120,110800
69,2020-04-16,8390,24790,49240,25750,26500,8537,37150,9220,69440,49770,17550,6710,4890.0,46320,116000
70,2020-04-17,8640,26440,49080,25810,26500,8623,37500,9430,69440,50510,17750,6890,4890.0,46450,117400
71,2020-04-20,8510,27180,48110,25610,26200,8967,39770,9650,69930,50510,17700,6840,4930.0,46770,117200
72,2020-04-21,8140,25600,45830,23950,24400,8900,37010,9200,67690,50140,16850,6440,4790.0,46510,115000
73,2020-04-22,8390,26440,47130,24990,23550,9043,36870,9470,68170,48220,16900,6670,4830.0,45080,115100
74,2020-04-23,8340,26920,47130,24990,24100,9062,36870,9840,67200,49110,16950,6600,4830.0,45020,116400
75,2020-04-24,8340,26760,48190,24850,24000,9110,37460,10060,71880,47930,17100,6600,4790.0,44820,115200
76,2020-04-27,8270,26510,47370,24230,23500,9444,36420,10000,71880,47560,17050,6570,4790.0,43450,113500
77,2020-04-28,8340,26090,48340,24260,22750,9825,35970,9750,70270,47630,17100,6590,4830.0,43580,112900
78,2020-04-29,8430,26350,47620,24570,23100,10064,36510,9790,69230,46900,17200,6620,4830.0,44230,115500
79,2020-05-04,8340,25600,46400,24370,23450,9367,36330,9560,68240,47850,17400,6900,4760.0,43840,114300
80,2020-05-05,8340,25560,45670,24370,23550,9215,36590,9750,70270,46900,17400,6940,4760.0,43450,111500
81,2020-05-06,8550,26180,46970,24850,25000,9491,38000,10110,70970,49400,17550,6860,4790.0,43970,112100
82,2020-05-07,8720,26630,47620,25920,24800,9730,38090,10750,72300,49840,17700,6830,4830.0,45340,115200
83,2020-05-08,8800,27020,49400,26230,25300,9634,39680,10660,73420,52280,18900,7170,4930.0,47810,120000
84,2020-05-11,8920,27410,51100,26570,25450,9682,40130,10910,75870,54200,20200,7230,5090.0,48460,118600
85,2020-05-12,8960,26860,50210,26610,25250,9921,41260,10770,79640,54200,20600,7280,5120.0,49180,117400
86,2020-05-13,8920,27050,50130,27330,24500,9825,41350,10980,79510,52650,20600,7600,5090.0,49180,114900
87,2020-05-14,8800,26760,51750,27400,24050,9682,41310,10910,79010,52060,20500,7370,5050.0,49440,114000
88,2020-05-15,8920,26480,50290,26640,24100,9539,40310,10700,77480,52790,20250,7320,5000.0,49440,114000
89,2020-05-18,8960,27570,50620,26850,24550,9634,41090,11430,77680,53020,20650,7430,5030.0,51070,114000
90,2020-05-19,9130,28120,51010,26990,24900,9730,42390,11910,78730,53970,21300,7550,5090.0,51390,114900
